Test Number, MPComplex, mpc
1, 6.0208000000006034e-05 seconds, 0.0007417079999999937 seconds
2, 5.025000000000168e-05 seconds, 0.0006049580000000027 seconds
3, 4.674999999999818e-05 seconds, 0.000618083999999991 seconds
4, 4.733299999999663e-05 seconds, 0.0006156249999999946 seconds
5, 4.674999999999818e-05 seconds, 0.0006237500000000062 seconds
6, 4.904099999999967e-05 seconds, 0.0005660420000000027 seconds
7, 4.695799999999972e-05 seconds, 0.0005470829999999899 seconds
8, 4.679200000000383e-05 seconds, 0.0005482919999999919 seconds
9, 4.616600000000026e-05 seconds, 0.000547333000000011 seconds
10, 4.5666999999999236e-05 seconds, 0.0005434589999999961 seconds
11, 4.720800000000691e-05 seconds, 0.0005412499999999931 seconds
12, 4.6166999999999736e-05 seconds, 0.0005307499999999965 seconds
13, 4.6958999999999196e-05 seconds, 0.0005442080000000044 seconds
14, 4.591699999999255e-05 seconds, 0.0005429590000000095 seconds
15, 4.700000000000537e-05 seconds, 0.0005472919999999909 seconds
16, 4.695799999999972e-05 seconds, 0.000541833999999991 seconds
17, 8.175000000000543e-05 seconds, 0.0005735000000000046 seconds
18, 4.6625000000008465e-05 seconds, 0.0005464579999999997 seconds
19, 4.570800000000541e-05 seconds, 0.0005296669999999976 seconds
20, 4.479200000000183e-05 seconds, 0.0005344999999999933 seconds
21, 4.7167000000000736e-05 seconds, 0.0005347920000000062 seconds
22, 4.7167000000000736e-05 seconds, 0.0005340830000000046 seconds
23, 4.479099999998848e-05 seconds, 0.0005372079999999974 seconds
24, 4.5666999999999236e-05 seconds, 0.0005343750000000036 seconds
25, 4.479200000000183e-05 seconds, 0.0005350419999999995 seconds
26, 4.699999999999149e-05 seconds, 0.0005356249999999979 seconds
27, 4.4166999999997736e-05 seconds, 0.0005422079999999885 seconds
28, 4.624999999999768e-05 seconds, 0.0005307500000000104 seconds
29, 4.612499999999409e-05 seconds, 0.00053425 seconds
30, 4.650000000000487e-05 seconds, 0.0005345830000000051 seconds
31, 4.824999999999968e-05 seconds, 0.0005344160000000098 seconds
32, 4.620800000000591e-05 seconds, 0.0005370420000000015 seconds
33, 4.474999999999618e-05 seconds, 0.0005283330000000058 seconds
34, 4.579100000000336e-05 seconds, 0.0005274579999999945 seconds
35, 4.620800000000591e-05 seconds, 0.0005315840000000016 seconds
36, 4.550000000000387e-05 seconds, 0.0005357500000000015 seconds
37, 4.450000000000287e-05 seconds, 0.000526583000000011 seconds
38, 4.424999999999568e-05 seconds, 0.0005345840000000046 seconds
39, 4.5875000000000776e-05 seconds, 0.0005356670000000036 seconds
40, 4.5917000000006425e-05 seconds, 0.0005295830000000001 seconds
41, 4.4583000000000816e-05 seconds, 0.0005252919999999967 seconds
42, 4.504099999999567e-05 seconds, 0.0005444589999999971 seconds
43, 4.524999999999668e-05 seconds, 0.0005424579999999957 seconds
44, 4.445799999999722e-05 seconds, 0.0005280000000000007 seconds
45, 4.558400000000129e-05 seconds, 0.000554625000000003 seconds
46, 4.799999999999249e-05 seconds, 0.0005405829999999973 seconds
47, 4.500000000000337e-05 seconds, 0.0005213750000000045 seconds
48, 4.395799999999672e-05 seconds, 0.000522249999999988 seconds
49, 4.64580000000131e-05 seconds, 0.0005313339999999944 seconds
50, 4.524999999999668e-05 seconds, 0.0005268749999999822 seconds
51, 4.425000000002344e-05 seconds, 0.0005312090000000047 seconds
52, 4.604199999999614e-05 seconds, 0.0005263330000000177 seconds
53, 4.5875000000000776e-05 seconds, 0.0005297499999999955 seconds
54, 4.599999999999049e-05 seconds, 0.0005385829999999814 seconds
55, 4.595899999998432e-05 seconds, 0.0005264999999999853 seconds
56, 4.59580000000126e-05 seconds, 0.0005266670000000084 seconds
57, 4.550000000000387e-05 seconds, 0.0005446669999999987 seconds
58, 4.545799999999822e-05 seconds, 0.0005400829999999968 seconds
59, 4.5333000000008505e-05 seconds, 0.0005423750000000116 seconds
60, 4.5917000000006425e-05 seconds, 0.0005305830000000011 seconds
61, 4.733299999998275e-05 seconds, 0.0006509999999999849 seconds
62, 5.525000000000668e-05 seconds, 0.0005583339999999937 seconds
63, 4.762499999999559e-05 seconds, 0.0005489999999999939 seconds
64, 4.633299999998175e-05 seconds, 0.0005262089999999997 seconds
65, 4.545799999999822e-05 seconds, 0.0005290000000000017 seconds
66, 4.545799999999822e-05 seconds, 0.0005334590000000139 seconds
67, 4.624999999999768e-05 seconds, 0.0005357920000000072 seconds
68, 4.599999999999049e-05 seconds, 0.0005380420000000163 seconds
69, 4.599999999999049e-05 seconds, 0.0005431250000000054 seconds
70, 4.7458999999999696e-05 seconds, 0.0005425830000000131 seconds
71, 4.604199999999614e-05 seconds, 0.0005371669999999773 seconds
72, 4.358399999998541e-05 seconds, 0.00052554199999999 seconds
73, 4.458400000001417e-05 seconds, 0.0005343750000000036 seconds
74, 4.612499999998021e-05 seconds, 0.0005367919999999804 seconds
75, 4.575000000001106e-05 seconds, 0.000532084000000016 seconds
76, 4.570800000000541e-05 seconds, 0.0005405830000000111 seconds
77, 5.025000000000168e-05 seconds, 0.0005616670000000157 seconds
78, 4.608400000000179e-05 seconds, 0.0005501249999999847 seconds
79, 4.558299999998794e-05 seconds, 0.0005360409999999871 seconds
80, 4.654200000001052e-05 seconds, 0.0005372500000000169 seconds
81, 4.508400000000079e-05 seconds, 0.0005335420000000257 seconds
82, 4.479199999998795e-05 seconds, 0.0005347920000000062 seconds
83, 4.69580000000136e-05 seconds, 0.0005443340000000074 seconds
84, 4.6875000000001776e-05 seconds, 0.0005522920000000098 seconds
85, 4.699999999999149e-05 seconds, 0.0005362500000000159 seconds
86, 4.720799999999303e-05 seconds, 0.0006122920000000143 seconds
87, 5.0333999999985224e-05 seconds, 0.000543958000000011 seconds
88, 4.9125000000010965e-05 seconds, 0.0005392499999999911 seconds
89, 4.604099999999667e-05 seconds, 0.0005612910000000193 seconds
90, 4.629100000000386e-05 seconds, 0.0005349160000000241 seconds
91, 4.6083000000002317e-05 seconds, 0.0005341249999999964 seconds
92, 4.5875000000000776e-05 seconds, 0.0005314170000000062 seconds
93, 4.5415999999992573e-05 seconds, 0.0005447090000000043 seconds
94, 4.812499999998221e-05 seconds, 0.0005534580000000067 seconds
95, 4.624999999999768e-05 seconds, 0.0005326250000000088 seconds
96, 4.520899999999051e-05 seconds, 0.000533958000000001 seconds
97, 4.704099999999767e-05 seconds, 0.0005463750000000156 seconds
98, 4.679200000001771e-05 seconds, 0.0005451670000000131 seconds
99, 4.829200000000533e-05 seconds, 0.0005384999999999973 seconds
100, 4.5875000000000776e-05 seconds, 0.0005417499999999797 seconds
